speed, landmark0, landmark1
4.327820336124657, 2.5739581538024217, 5.931091282932724
5.762330904026573, 2.240460904977238, 5.355224128382881
4.557238728823433, 1.7237863555172737, 5.4721891972177
4.972005886897147, 1.7088878960606566, 4.69086735133098
5.554982753097226, 1.2575743469983764, 3.319529798494023
6.979547174604917, -0.24247892131923932, 4.064685710984609
4.560315380306148, 0.22070481556138727, 2.473891569688078
4.219184725156207, -0.7308278896119441, 2.3205760736493195
5.021689826783738, -0.5866460749822314, 1.251318875445348
4.751751351721766, -1.290139319979353, 2.4718343876095243
